VIN,Plate Number,Vehicle Year,Vehicle Make,Vehicle Model,Group Policy Insurer Name,Group Policy Number,Group Policy Expiration Date,Peer To Peer Company Name,Peer To Peer Vehicle Added Date
JTDEPMAE3NJ229924,KXT3824,2022,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/31/2022 12:00:00 AM
JTDEPMAE4N3026108,KXT3337,2022,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/02/2022 12:00:00 AM
JTDEPMAE7MJ185781,KNS7256,2021,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,12/19/2022 12:00:00 AM
JTDEPRAE0LJ097599,LBK1266,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,04/21/2023 12:00:00 AM
JTDEPRAE1LJ029327,HGH9454,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,12/03/2022 12:00:00 AM
JTDEPRAE1LJ091486,LCM3892,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,06/06/2023 12:00:00 AM
JTDEPRAE2LJ115388,LAP1870,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/27/2023 12:00:00 AM
JTDEPRAE3LJ111351,KXZ9582,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,01/10/2023 12:00:00 AM
JTDEPRAEXLJ108771,KSU5817,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,12/04/2022 12:00:00 AM
JTDKAMFP0M3185172,KRN5253,2021,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,03/20/2023 12:00:00 AM
JTDKAMFP0M3190209,KFM6812,2021,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,06/19/2022 12:00:00 AM
JTDKAMFP1N3209691,JRS6985,2022,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/23/2023 12:00:00 AM
JTDKAMFP3N3200085,KMS5634,2022,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,12/12/2022 12:00:00 AM
JTDKAMFP5N3215560,LBS7448,2022,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,04/19/2023 12:00:00 AM
JTDKAMFP8M3182066,KMK3947,2021,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/03/2023 12:00:00 AM
JTDKAMFP9N3218011,KXT2462,2022,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/30/2023 12:00:00 AM
JTDKAMFPXN3219054,KAL5986,2022,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,09/20/2022 12:00:00 AM
JTDKARFP2L3156557,JRZ2523,2020,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/05/2022 12:00:00 AM
JTDKARFP3L3127746,JAU2950,2020,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/14/2023 12:00:00 AM
JTDKARFP5L3155466,LED6799,2020,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/06/2023 12:00:00 AM
JTDKARFP9L3129467,LBN 4159,2020,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/06/2022 12:00:00 AM
JTDKARFPXH3016862,KNL5916,2017,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,06/13/2023 12:00:00 AM
JTDKARFPXL3162901,KXC1839,2020,Toyota,Prius Prime,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/30/2022 12:00:00 AM
JTDKARFU7G3509063,KAA8866,2016,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,03/13/2023 12:00:00 AM
JTDKARFU8G3510920,LCX5041,2016,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/04/2023 12:00:00 AM
JTDKDTB31C1524794,JFD8790,2012,Toyota,Prius c,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/23/2022 12:00:00 AM
JTDKDTB39E1085041,KTH7401,2014,Toyota,Prius c,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/17/2022 12:00:00 AM
JTDKDTB3XF1585288,976WTR,2015,Toyota,Prius c,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/11/2023 12:00:00 AM
JTDKN3DP9C3028997,LEA2179,2012,Toyota,Prius Plug-In,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,09/13/2023 12:00:00 AM
JTDKN3DU2D1692576,KZB6569,2013,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/02/2023 12:00:00 AM
JTDKN3DU3D0339432,KNM6229,2013,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/04/2023 12:00:00 AM
JTDKN3DU4A0071728,LEC4494,2010,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/04/2022 12:00:00 AM
JTDKN3DU6A0097683,FSS3380,2010,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,06/27/2022 12:00:00 AM
JTDKN3DU7D5587914,KFH2521,2013,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/21/2023 12:00:00 AM
JTDKN3DU9B5340696,KSZ8160,2011,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/22/2022 12:00:00 AM
JTDKT4K32B5327391,LFC1053,2011,Toyota,Yaris,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,09/03/2023 12:00:00 AM
JTDL9MFU1M3025272,KJC2933,2021,Toyota,Prius,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/05/2023 12:00:00 AM
JTDP4RCE1LJ024109,LBF2561,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/10/2023 12:00:00 AM
JTDP4RCE5LJ021066,KYK9828,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/08/2022 12:00:00 AM
JTDP4RCE7LJ017309,KXT5055,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/07/2023 12:00:00 AM
